id,bumelerze_id,time,year,lat,lon,depth_km,mag,mag_type,source_catalog,source_id,contributing_sources,merged_count
bumelerze-000177,bml1931000h,1931-12-24T23:00:10.220Z,1931,38.61,44.294,15.0,5.45,Mw,ISCGEM,907178,ISCGEM,1
bumelerze-000178,bml1931000i,1931-12-24T23:00:12.000Z,1931,37.39,44.79,40.0,4.9,Mw,EMME,1599,EMME,1
bumelerze-000179,bml19320001,1932-01-22T00:48:56.000Z,1932,33.0,47.0,35.0,5.6,MS,ONUR2017,905987,"EMME,ONUR2017",2
bumelerze-000180,bml19320002,1932-02-02T09:00:37.000Z,1932,38.5,48.3,15.0,4.7,Mw,EMME,1601,EMME,1
bumelerze-000181,bml19320003,1932-03-15T10:18:04.160Z,1932,33.887,47.932,15.0,5.47,Mw,ISCGEM,906068,"EMME,ISCGEM,ONUR2017",3
bumelerze-000182,bml19320004,1932-05-07T00:54:09.000Z,1932,36.25,45.0,35.0,5.6,MS,ONUR2017,906139,ONUR2017,1
bumelerze-000183,bml19320005,1932-05-07T14:54:18.000Z,1932,36.22,44.73,80.0,5.3,Mw,EMME,1609,EMME,1
bumelerze-000184,bml19320006,1932-06-16T12:09:25.000Z,1932,39.3,46.0,26.0,4.9,Mw,EMME,1612,EMME,1
bumelerze-000185,bml19320007,1932-06-17T22:30:00.000Z,1932,39.5,46.3,15.0,4.73,Mw,EMME,1613,EMME,1
bumelerze-000186,bml19320008,1932-08-10T17:00:27.000Z,1932,39.2,46.1,20.0,5.06,Mw,EMME,1618,EMME,1
bumelerze-000187,bml19320009,1932-08-11T20:00:00.000Z,1932,38.9,46.2,15.0,4.46,Mw,EMME,1619,EMME,1
bumelerze-000188,bml1932000a,1932-09-12T23:37:27.000Z,1932,39.0,48.7,20.0,4.7,Mw,EMME,1621,EMME,1
bumelerze-000189,bml1932000b,1932-12-01T07:30:00.000Z,1932,39.5,46.2,23.0,4.7,Mw,EMME,1624,EMME,1
bumelerze-000190,bml19330001,1933-01-01T00:00:00.000Z,1933,38.67,44.0,25.0,5.43,Mw,EMME,1627,EMME,1
bumelerze-000191,bml19330002,1933-04-16T06:54:38.000Z,1933,39.1,48.4,15.0,5.1,Mw,EMME,1630,EMME,1
bumelerze-000192,bml19330003,1933-09-06T07:07:16.000Z,1933,39.3,46.6,33.0,5.87,Mw,EMME,1642,EMME,1
bumelerze-000193,bml19330004,1933-11-06T00:00:00.000Z,1933,38.68,43.85,10.0,5.76,Mw,EMME,1649,EMME,1
bumelerze-000194,bml19330005,1933-11-06T07:07:16.000Z,1933,39.3,46.6,20.0,5.3,Mw,EMME,1650,EMME,1
bumelerze-000195,bml19330006,1933-11-06T07:07:18.840Z,1933,39.388,43.27,15.0,5.56,Mw,ISCGEM,905903,ISCGEM,1
bumelerze-000196,bml19340001,1934-02-22T08:07:00.000Z,1934,38.23,45.04,92.0,6.16,Mw,EMME,1657,EMME,1
